person_key,source_kind,source_key,video_key,video_uid,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,major_area,sub_area,criterion_code,criterion_index,score,knowledge_score,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
kari_lake_us_pres,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres::-EZZ6G-xuyk,kari_lake_us_pres,7,7,7,0:00:29,0:01:15,28.56,74.72,529,1288,"Myra's in more debt, which is tear open at one secure border. He's actually pushed for hits to Social Security and Medicare as well. So he's really hit against every single member in Arizona and our streets are not safe. His homeless population in his district is the fastest growing homeless population in  in the country so he had that horrible record that he had to try to defend and there is no defending it so he tried to lie and not to mention his horrible treatment of women in his past his family connections to mexican drug cartels i mean this guy's a real disaster and i had to let the people of arizona know about it so we did really well and we're out campaigning hard early voting has started john and people are already getting out there to vote",52bc1f77f2900bbd416a7d6175a81b36582dd74a854aeee61f8b0b4bb2584813,economics,fiscal_debt_public_purse,EC04HDF4,44,-20,10,He's actually pushed for hits to Social Security and Medicare as well.,"Named Social Security and Medicare, and debt, as things an opponent did to Arizonans, in a single passing clause. No residual identity, no closer, no indexation or demographic driver, no formula, and no committee or chamber that would carry any of it. The topic is named and the causal path is not taken up. The same reading applies to the mirror-image clause from the other direction. MECHANISM absent; no ANCHOR beyond the program names.",low,SPEAKER_04,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres::-EZZ6G-xuyk,kari_lake_us_pres,9,9,10,0:01:15,0:01:23,74.92,83.38,1295,1441,I feel really good about where we are. Our internal polling  has showed me leading him by a hair. And I think that's important as we go into this.,39b11f8cb1783f95608ca7458dad4099b7936d8574210df71393e5beddf4a6aa,intellectual_rigor,primary_sources,IR01RM9N,82,20,10,Our internal polling,"Labelled the source of her own lead claim as internal campaign polling rather than presenting it as a public survey, and described the result as 'leading him by a hair' rather than inflating it. That is a source named together with the interest behind it, stated plainly, and it is what the sub area asks for at the low end. No date, no margin, no sample, no sponsor and no public comparator set beside it, so it goes no further than a plainly stated attribution. ANCHOR class: the writer and the writer's interest named; no artifact opened.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres::-EZZ6G-xuyk,kari_lake_us_pres,23,23,24,0:02:10,0:02:21,129.72,141.08,2344,2586,"called the border wall, stupid, dumb border wall and said he would never, ever, ever fund it. And now he's trying to  act like he likes the border wall, which is what I call the extreme makeover of Ruben Gallego. He's voted for biological men",ee1d91a64189183c8725d999ff9a3ff9691f96ffe28a640d92cf3e7b1492caed,policy_wonk,immigration_border_operations,PW014J8E,133,-20,20,"called the border wall, stupid, dumb border wall and said he would never, ever, ever fund it","Answered the border question with an opponent's position change on barrier funding and nothing about the machinery at the line: no appropriation or vehicle that funds a barrier, no inspection or return authority, no officer and no signer. Names the phenomenon and the flip, and cannot name a cause, an authority or a loser. This sub area's triggers_when says a slogan about closing the border with none of the machinery still writes a row here at a low score, and that is what this is. Stance is not read: the identical absence of machinery from the opposite prescription scores the same.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres::-EZZ6G-xuyk,kari_lake_us_pres,24,24,25,0:02:15,0:02:29,134.93,149.07,2462,2721,"act like he likes the border wall, which is what I call the extreme makeover of Ruben Gallego. He's voted for biological men  participating in sports with our girls, which means our daughters and sisters will have to change clothes and shower in front of men.",b0c16e1a161ba72fd1bfd9f7bf14b86e707a3eb28a722e2515b08a6c21c292cd,policy_wonk,education_federal_statutes,PW08HIS0,140,-20,20,"participating in sports with our girls, which means our daughters and sisters will have to change clothes and shower in front of men.","Attributed a vote on school sports participation and carried it straight to locker-room and shower access. Named a loser, and named no layer: not the 1972 statute, not 34 CFR 106 or any rule an agency wrote, not a vacatur, not a bill or a roll call, and no pen that would hold any of it. The step between a participation rule and a changing-room rule is asserted rather than walked. Names the phenomenon and a loser, cannot name the instrument or the authority. The same reading applies to the opposite prescription stated at this depth.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres::-EZZ6G-xuyk,kari_lake_us_pres,26,26,27,0:02:29,0:02:47,149.07,166.97,2723,3078,"And people aren't for that.  He's actually was the co-sponsor of the George Floyd legislation, which would have defunded the police nationwide and got rid of qualified  immunity, which would have made our streets even more unsafe than they already are. Defunding the police. I'm sorry, if you're for defunding the police, you shouldn't even be running for",6f1c0757f9e00a1f912c8eb73fd428aeac429cc1c9865b31273f620d968befe3,policy_wonk,public_safety_statutes,PW0942KW,141,-70,30,"the co-sponsor of the George Floyd legislation, which would have defunded the police nationwide","Named the George Floyd policing bill and correctly identified one of its actual provisions - the limit on qualified immunity - and then described its money half backwards: the measure authorised and conditioned federal grants to departments and did not defund them, and no federal statute can defund a local department nationwide because Congress does not hold that payroll. 'Defunding the police' is used as the description of the instrument rather than as a description of any provision in it. Scored between the hedged-inversion rung and the password rung because one half of the instrument is named correctly and the other half is stated backwards. MECHANISM inverted on the funding half, correct on the immunity half; ANCHOR present as the named bill.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres::-EZZ6G-xuyk,kari_lake_us_pres,28,28,31,0:02:47,0:03:34,166.97,214.23,3080,3903,"office. That's the most ridiculous thing I've ever heard. And you can just go back to that progressive caucus in the House of Representatives where all of the bad ideas come from.  The ideas that make us wonder what in the world's going on. And he was the leader of the Progressive Caucus, who's voted with Kamala Harris and Joe Biden 100 percent of the time, even more than AOC and the squad. He's further to the left than Bernie. He's further to the left than, you know, you name it, any crazy president.  of  eric swalwell all those folks  and so he's the one who pushed by the way for fema to spend a billion dollars over the last two years on the illegals that are pouring in and that's why the coffers are empty right now and we can't afford to help americans in need every bad idea he's got his fingerprints on and i",580ab06679146a15b11620f84565dc5896931d8a505eead2bd6191751a177746,intellectual_rigor,numbers_units_and_comparators,IR085YE6,89,-35,30,who's voted with Kamala Harris and Joe Biden 100 percent of the time,"Two quantities enter this run and neither arrives with what would make it checkable. A 100-percent alignment figure is given with no base - no vote universe, no chamber, no session, no year and no scorer named - and 'a billion dollars over the last two years' is given later in the same run with no appropriation, no account and no table. Both are talking-point figures rather than cited ones, and the percent floats free of its denominator. Below the plain-mechanism rung because a bare percent used as a placement marker is closer to a password than to a stated quantity; above the floor because the second figure does at least carry a unit and a window.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres::-EZZ6G-xuyk,kari_lake_us_pres,28,28,28,0:02:47,0:03:16,166.97,196.09,3080,3586,"office. That's the most ridiculous thing I've ever heard. And you can just go back to that progressive caucus in the House of Representatives where all of the bad ideas come from.  The ideas that make us wonder what in the world's going on. And he was the leader of the Progressive Caucus, who's voted with Kamala Harris and Joe Biden 100 percent of the time, even more than AOC and the squad. He's further to the left than Bernie. He's further to the left than, you know, you name it, any crazy president.",0f2482928319370f6389f3db3c2dfa8f201cf7276a0a7486edf42fb564b0c15d,public_speaking,reach,PS051OFF,147,-50,30,"He's further to the left than Bernie. He's further to the left than, you know, you name it, any crazy president.","Placed the opponent by a chain of faction names and personalities - the Progressive Caucus as the place 'where all of the bad ideas come from', then AOC and the squad, then Bernie, then 'eric swalwell all those folks' - aimed squarely at the room she was already in. A listener outside that frame cannot unpack the claim without first sharing it, and there is no bill, no vote and no act carried inside the string that a disagreeing listener could repeat back. Password rather than a retellable claim. Delivery is what is read here and not the truth of the placement; the mirror-image string of names from the other direction reads the same.",low,SPEAKER_04,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres::-EZZ6G-xuyk,kari_lake_us_pres,31,31,31,0:03:18,0:03:34,198.14,214.23,3623,3903,and so he's the one who pushed by the way for fema to spend a billion dollars over the last two years on the illegals that are pouring in and that's why the coffers are empty right now and we can't afford to help americans in need every bad idea he's got his fingerprints on and i,95d2c6c5714c42a7c2b6df656b5152b9a87847b94c2b49bca6de26d2d6a37c12,constitutional_governing_competence,purse_authorizations_appropriations,CG03BT08,23,-80,30,he's the one who pushed by the way for fema to spend a billion dollars over the last two years on the illegals that are pouring in and that's why the coffers are empty right now and we can't afford to help americans in need,"Moved money on paper and moved it backwards. The agency is named correctly and the order of magnitude of the migrant-shelter spending is roughly right, and the account it is then said to have drained is a different appropriation: the shelter money is its own line in the annual homeland-security bill and the disaster account is a separate line in the same bill, so spending the first does not empty the second, and Congress rather than the agency sets both numbers. The causal claim - 'that's why the coffers are empty right now and we can't afford to help americans in need' - is the inversion; the dollar figure is not. Scored at the hedged-inversion rung rather than the floor because the instrument is named correctly and only the fund flow is described backwards. Stance is not read: the same reading would apply to the identical claim made about any other spending line.",low,SPEAKER_21,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres::-EZZ6G-xuyk,kari_lake_us_pres,43,43,44,0:04:30,0:04:49,269.87,288.95,4730,5074,"believe he will. I mean, we are suffering just as bad as Colorado. We have the Trend Aragua gang that is here in Arizona. We have Chilean gangs  that are robbing people. They're called the dinnertime bandits. They're breaking into people's homes and robbing all of their valuables at dinnertime. This has been happening for the last three and a",0fb497cae26984d60284eea18a809511dac6a10fe19f742b7650a1335ee6fb9d,public_speaking,clarity_on_hard_things,PS01OQH0,143,30,30,They're called the dinnertime bandits. They're breaking into people's homes and robbing all of their valuables at dinnertime.,"Carried one hard thing through in plain, concrete, person-sized language a listener outside the room could repeat back: a named group, the name people locally use for them, what they do, when they do it, and how long it has been running. One keepable claim per sentence, no jargon and no talking down. Short of the higher rungs because no source, rate or count is attached to any of it and the duration is the only figure. Delivery only - whether the claim is true is read in the knowledge areas, not here.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres::-EZZ6G-xuyk,kari_lake_us_pres,45,45,45,0:04:49,0:05:17,288.95,316.84,5076,5570,"half years. And my opponent is never gonna vote for that. He's never gonna approve of that because he's, like I said, family ties to the cartels, a convicted felon,  close family member, his father, a convicted felon who was a drug trafficker for the cartels. This is somebody who's not going to get serious and come after the cartels. And as you heard there, President Trump wants to take on the cartels, take on the criminals who are pouring across our border. My opponent said he never wants",40cf056bacac8847540a7fa008800f5001aa3a21c104bba2ebf415c25f7ab501,public_speaking,difficult_topics_without_inflammatory_collapse,PS04BKYU,146,-50,30,"He's never gonna approve of that because he's, like I said, family ties to the cartels, a convicted felon","Predicted how the opponent would vote and hung the prediction on a family relationship - a father's conviction - rather than on a vote, a bill or a named act, having landed earlier charges on votes and a co-sponsorship. The hard thing is named without euphemism and without a slur, which keeps it off the floor; what is missing is the act the charge should attach to, so a lineage claim stands where the record would go. Moral and associational language standing in for the mechanism. The same reading applies to an identically-structured charge made in the other direction.",low,SPEAKER_04,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
