person_key,letter,source_kind,source_key,video_key,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,score,criterion_code,criterion_key,criterion_index,direction,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
casey_putsch,n,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch_oh_gov,81,81,81,0:09:48,0:10:00,588.08,600.92,10259,10460,"whatsoever I got a buddy it's got like 250,000 miles on one I have daily driven two DeLoreans through all four seasons in Ohio snow everything I love the car I would daily drive one any day of the year",c397b55c4d9f1f038ae95211a258eb2dbfc4b0cb3bfcec5f092b98c7d136397e,5,Npn5Jw6m,personal_narrative,11,toward,I have daily driven two DeLoreans through all four seasons in Ohio snow,"Tells his own experience of owning and daily-driving two DeLoreans through Ohio winters, and of a friend's car with 250,000 miles on it, as a story about what the car was actually like to live with. Ordinary personal narrative that arrives nowhere but the car; no prescription and nothing public-affairs attached, so it sits at the standard band and not above it.",high,SPEAKER_00,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:12.000Z
casey_putsch,n,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch_oh_gov,101,101,101,0:12:25,0:12:54,745.02,774.88,13126,13660,"anyway it's harder to find a Corvette that's manual and the ones you want to get are going to be the six speed I think that was somewhere in the area of I can't remember if it was like 89 90 or 91 probably like 1990 ish was the first six speed Corvette that's I had one of those they were great the 80s Corvettes had the four plus three which is a four speed transmission with overdrive that you could actually wait in the top three gears so it's kind of weird I guess it's okay I'm not too wild about that Also, a Corvette C4 is the",184c0990cf624e4a39b10ad0f8c1c54aa00360635a89804b6af16da3f5432b17,5,Ntk6Yb2h,technical_or_professional_subject,7,toward,the 80s Corvettes had the four plus three which is a four speed transmission with overdrive that you could actually wait in the top three gears,"Explains how a specific gearbox works and when it was superseded — the four-speed-plus-overdrive arrangement, which gears the overdrive acts on, and the model year the six-speed arrived. A how-it-works explanation given on its own merits with no prescription attached. Met by substitution: the criterion's exemplars are aviation and engineering, the subject's instance is drivetrain design, same class (a technical body of knowledge) and same depth (a named mechanism plus a dated change).",high,SPEAKER_12,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:12.000Z
casey_putsch,n,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch_oh_gov,128,128,128,0:16:10,0:16:28,970.01,988.17,17276,17586,"and movies in the 80s, but it got an engine developed by Porsche's four-cylinder It's slanted and it's got two balance shafts in it. So it's a little smooth That's why I has two timing belts one for the camshaft one for the balance shafts and I If I'm not mistaken, the Porsche 944 engine is basically derived",c385e07e17115231cbaf06a72600be51a5d6e72fd3aa4b2fabcb806396fff8f4,6,Ntk6Yb2h,technical_or_professional_subject,7,toward,it's got two balance shafts in it. So it's a little smooth That's why I has two timing belts one for the camshaft one for the balance shafts,"Walks the internal architecture of one engine — the slant four, the pair of balance shafts, and why that arrangement requires a second timing belt — and then places it against the eight-cylinder it was derived from. Sustained, specific and correct in shape, with nothing political adjacent; a single line of it rather than a whole dominant stretch is what holds it at +6.",high,SPEAKER_28,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:12.000Z
casey_putsch,n,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch_oh_gov,133,133,133,0:16:50,0:17:16,1010.91,1036.87,17963,18484,"that's worth your salt and you can actually feel the timing belts, It's like, like on this Ducati or something, you can do it. In fact, you need like a couple thin wrenches, I think, for the timing belt. But frankly, one of them I used was thick sheet metal and I cut it with some shears and made my own wrench. Like, it's not that hard, it's just not that hard. But if you've never done it before, you'd probably want somebody with a little bit of expertise there. So I love these cars, they're not super fast, it's not",748bf3e22c8457b98b4d4cc447cb855fff8d25dfdd9c54afa3a748960195c2d5,6,Ncr8Tv3c,craft_making_and_repair,2,toward,one of them I used was thick sheet metal and I cut it with some shears and made my own wrench,"Describes doing the timing-belt job himself, including making a thin wrench out of sheet metal with shears when he did not have the proper tool, and says who should not attempt it without help. The tell of hands-on work is present — an improvised tool and a named limit — and the passage stays entirely on the bench.",high,SPEAKER_12,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:12.000Z
casey_putsch,n,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch_oh_gov,137,137,137,0:17:27,0:17:45,1047.94,1065.04,18697,18993,"lag and then buck? Does it do that? That's a sign that the clutch is blown out because instead of having springs like a normal clutch in the middle, it's rubber. So if you do like I did and be a nice guy and teach your ex-dumb girlfriend to drive stick shift in it, she'll ruin the clutch. It'll",f641a2749a5be32737e674dd482045cfa83dad693964794c53a8ee1ad2ad39d5,5,Ncr8Tv3c,craft_making_and_repair,2,toward,"That's a sign that the clutch is blown out because instead of having springs like a normal clutch in the middle, it's rubber","Gives a named failure and how to detect it on a test drive: driveline lash, the lag-and-buck under deceleration, and the rubber centre hub that fails where another clutch would use springs. A named failure mode is the tell of a real repair trigger; it is one diagnostic rather than a sustained stretch, so it sits mid-band.",high,SPEAKER_12,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:12.000Z
casey_putsch,n,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch_oh_gov,149,149,149,0:18:37,0:19:11,1117.04,1151.01,20103,20754,"944 as well under the 100,000 miles that are nice, but you got to know. Um... If I'm not mistaken, the cylinders are aluminum with like a Nicosil coating or something. So if it's smoking, you might want to avoid it because just you're not going to rebuild that engine like a small block Chevy. You want to kind of find one that's about as nice as you reasonably can, that runs good. You can do little things, you can make the body better, but there's some things that just you don't fix up so easily. And since it's a car not worth a ton of money, you don't, you wanna get a car that is a good value. So the time and effort and money you put into it",483abdee99b91d07a69f66ae0b5f3cb6bdc59c0012438e05673fa034c33f3401,5,Ntk6Yb2h,technical_or_professional_subject,7,toward,"the cylinders are aluminum with like a Nicosil coating or something. So if it's smoking, you might want to avoid it because just you're not going to rebuild that engine like a small block Chevy","Explains why one engine's bore treatment makes it uneconomic to rebuild and what that means for which example to buy, hedging his own recall as he goes. Technical reasoning about how a machine is built, offered on its merits with no prescription for anyone but a buyer.",high,SPEAKER_29,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:12.000Z
casey_putsch,n,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch_oh_gov,244,244,244,0:30:02,0:30:17,1802.34,1817.1,32618,32918,"light. Yeah, you know, it's 3, 200 bucks. You know, someday these goobers are gonna like lose their mind, like, I need a 90s M3, let's make it worth too much money. I don't know, maybe not, I hope they don't. I just like real people to be able to afford stuff because we're not making more money Why",5c20bef996012a04dbefe4393596bb9aea57f13b40d9837f7d097ccb6fd9aa91,-2,Nap2Qx7n,sustained_political_argument,12,away,I just like real people to be able to afford stuff because we're not making more money,"States as an aside, in the middle of reading a used-car listing, that ordinary people's pay is not rising and that he wants prices to stay where such people can afford them; the following line extends it to borrowing driving prices up. It is a cost-of-living claim about the general economy rather than a car observation, which is why it is written rather than passed over, but it is one aside, is immediately turned into a joke about his own age, and is never returned to — no instrument, institution, party or side is named, so it sits at the bottom of the away band.",medium,SPEAKER_69,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:12.000Z
casey_putsch,n,transcription,-ZOvpUpWQdo,-ZOvpUpWQdo,casey_putsch_oh_gov,7,7,7,0:01:03,0:01:21,63.05,81.17,998,1340,here but i digress so many of you know that my wife fairly recently bought her first exotic car she likes very much it's a 2008 maserati gran turismo it's white with a red interior and we recently i did the x-pipe for her she changed her own oil we got some neat wheels put them on and it's a wonderful car and she loves it she's really proud,d64c87e60a6f10c52c35f81c9a9cea91031dc742d783c1b9f2f7e4a92e7c6d42,4,Ncr8Tv3c,craft_making_and_repair,2,toward,i did the x-pipe for her she changed her own oil we got some neat wheels put them on,"Describes hands-on work done to the car: fitting an X-pipe, an oil change his wife did herself, and fitting a set of wheels. Craft met by substitution -- the criterion's exemplars are woodworking and a transmission, the subject's instance is exhaust and wheel work on a 2008 Maserati; same class (hands-on making and repair) and same depth (the specific jobs are named). It is a short inventory of work with no failure mode or process detail, so it sits in the +3 to +4 band rather than at the standard +5.",high,SPEAKER_05,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
casey_putsch,n,transcription,-ZOvpUpWQdo,-ZOvpUpWQdo,casey_putsch_oh_gov,9,9,9,0:01:22,0:01:42,82.35,102.13,1358,1763,"past weekend, we went down to Columbus, thought we'd get together with my old Cars and Coffee crew there, I went to Midwestern Auto Group where it was, real fun time, and we took her car. I didn't really wanna drive two cars at a time 'cause we were gonna do kinda weekend fun trip things, and her Maz is very comfortable to ride around in. And, you know, we'll share driving duties, things like that, but",080f9e30f50cd477bb2a330f15d93e9ec1555b6871acbd38f89f726ac2988a8b,3,Nlc3Md8g,local_community_life,6,toward,"we went down to Columbus, thought we'd get together with my old Cars and Coffee crew there, I went to Midwestern Auto Group where it was, real fun time","Describes travelling to a car meet to see his old crew, naming the gathering and the venue it is held at. Local community life met by substitution -- the criterion's exemplars are a pancake breakfast and a little league, the subject's instance is a Cars and Coffee meet at a named dealership; same class (a voluntary local gathering) and same depth (named event, named venue, who was there). Brief and told in passing on the way into the story, so +3 rather than the standard +5.",medium,SPEAKER_05,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
casey_putsch,n,transcription,-ZOvpUpWQdo,-ZOvpUpWQdo,casey_putsch_oh_gov,11,11,11,0:01:42,0:01:53,102.22,113.99,1773,2033,"her, I'm like, we're going to Cars and Coffee, it's your car, you're the one driving in, I do not wanna go in and get any credit for it 'cause people will think it's either my car or I'm the one just doing it and it's not her car of her enjoyment. So I wanted",68932352039f55ea0b0adc080741731f220e65349abf80e7c9b426c1d607a563,4,Nfm4Xd9b,family_and_home_life,1,toward,"we're going to Cars and Coffee, it's your car, you're the one driving in, I do not wanna go in and get any credit for it","Recounts an exchange with his wife about which of them would drive into the meet and why he did not want to be given credit for her car. Domestic logistics of an ordinary weekend, quoted and specific, with nothing political adjacent. A real but short passage, so +4.",high,SPEAKER_05,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
casey_putsch,n,transcription,-ZOvpUpWQdo,-ZOvpUpWQdo,casey_putsch_oh_gov,33,33,33,0:04:48,0:05:13,288.99,313.08,5449,5981,"store or just out and about wherever it is, shopping, going to post office, something like that. And I asked her, do you ever get any compliments, people thumbs up and whatnot? And she actually said no. I usually have guys glaring at me when I get out. I'm like, are you sure about that? Like you're just thinking that 'cause you're kind of self-conscious 'cause you're driving a flashy car now? And she's like, no, they just kind of glare at me. And I'm like, all right. So I sort of paid attention to that. And she didn't mention",1ecc55fba8985f975cfa1cf65c8f48a3640b8130c149d75d576341d5c625680c,6,Npn5Jw6m,personal_narrative,11,toward,"And I asked her, do you ever get any compliments, people thumbs up and whatnot? And she actually said no. I usually have guys glaring at me when I get out.","First-person account of asking his wife whether strangers compliment her car, her answer that people glare at her instead, his pushing back on it, and his deciding to watch for it himself afterwards. Told as experience and it stays experience -- the passage never turns into a demand on any public body or a position on any instrument. This is the load-bearing line of a first-person narrative that runs through most of the source, so the top of the standard band at +6; it does not reach +7 because the source is thirteen minutes rather than a long-form hour.",high,SPEAKER_01,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
casey_putsch,n,transcription,-ppRBPzwj0A,-ppRBPzwj0A,casey_putsch_oh_gov,56,56,56,0:05:35,0:05:54,335.91,354.07,6068,6364,and welded to this obviously and that will allow another tube to be fish mouth and weld to it right there so what we have effectively done is make these a arms uh that all bolt together and then when the car is dismantled what you'll do is you'll unbolt the four nuts at the top and the four nuts,7032e3eee207f86bb8b54f477afc11a467ae5c49432c28875e7b6ca253a3fc17,6,Ntk6Yb2h,technical_or_professional_subject,7,toward,so what we have effectively done is make these a arms uh that all bolt together and then when the car is dismantled what you'll do is you'll unbolt the four nuts at the top,"Explains, at professional depth, how the fabricated A-arms and the bolted pin joints let the monocoque separate from the drivetrain assembly, naming the fastener count and the sequence. Technical subject matter argued on its merits with no prescription for public policy attached anywhere in the passage. Met by substitution: the criterion's exemplars are code, aviation and a protocol; the subject's instance is race-car chassis structure, the same class (a professional technical body of knowledge) at the same depth.",high,SPEAKER_25,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:40:21.000Z
casey_putsch,n,transcription,-ppRBPzwj0A,-ppRBPzwj0A,casey_putsch_oh_gov,103,103,103,0:09:46,0:09:59,586.27,599.51,10097,10360,slipped and pushed a little too hard and it bound and grabbed it's a little tricky to do also I'm doing it on the camera and this looks 10 times more sketch so judge me if you will but it's working beautifully and we're doing the best with we can with what we got,77a54b3231ffd8ff43ca573febe66509963406dc47870b3b8c7c86294df36d87,6,Ncr8Tv3c,craft_making_and_repair,2,toward,slipped and pushed a little too hard and it bound and grabbed,"Describes the drill bit binding and grabbing mid-cut while boring the tube, and says so on camera rather than editing it out. The criterion names a NAMED FAILURE as the tell of somebody who actually does the work, and this is one. Hands-on repair subject matter throughout; nothing political adjacent to it.",high,SPEAKER_49,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:40:21.000Z
casey_putsch,n,transcription,-ppRBPzwj0A,-ppRBPzwj0A,casey_putsch_oh_gov,189,189,189,0:16:33,0:16:39,993.16,999.13,16631,16772,"it, guys. We don't have a lathe, and we don't have all the right tools, and we didn't have a pipe that fit perfectly, but with just the basic",db6b66bd47f5db946070bffe8e766e8b9a1a0e94b250fd24449c14c420eb6847,7,Ncr8Tv3c,craft_making_and_repair,2,toward,"We don't have a lathe, and we don't have all the right tools, and we didn't have a pipe that fit perfectly","Sums up the improvised method after roughly ten minutes of it: no lathe, wrong stock, and a hand-built jig used to get the part perpendicular anyway. Sits in the +7 band because hands-on making and repair is not one stretch of this source, it is what the source is, and this line is where the subject states that plainly in his own words.",high,SPEAKER_78,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:40:21.000Z
casey_putsch,n,transcription,-ppRBPzwj0A,-ppRBPzwj0A,casey_putsch_oh_gov,197,197,197,0:17:12,0:17:28,1032.37,1048.67,17380,17627,"worked hard. Our family had to maintain every single mower, every single tractor, every single golf cart, all the grounds, all the agronomy, 120 acres, all the environmental impact, and then also manage the business. But the only thing that people",9b8aefccea7bcf12a95bfd373935a10392c1f8e3f0ccd2bb45a7b882cce90ed5,5,Npn5Jw6m,personal_narrative,11,toward,"Our family had to maintain every single mower, every single tractor, every single golf cart, all the grounds, all the agronomy, 120 acres","Tells his own childhood on the family's public golf course as experience — what the family maintained and how much of it — and the story ends in a point about not writing people off, not in a demand on anyone. Told as experience rather than as a qualification for anything, which is what keeps it a personal-narrative row.",high,SPEAKER_09,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:40:21.000Z
casey_putsch,n,transcription,-ppRBPzwj0A,-ppRBPzwj0A,casey_putsch_oh_gov,227,227,227,0:21:40,0:21:56,1300.14,1316.02,22694,23024,"of my stuff and also do a lot of YouTube. And frankly, I'll be honest, the only reason Genius Garage can exist anymore is because I do my own YouTube and give it exposure. The world is not remotely as nice as everybody thinks it is, which is amazing, 'cause I think most people think the world is terrible. It's very difficult for",13f2bfed0c328bfe09a53f02ea5c018533d2210d723ccebce23301be1fec939a,5,Nbz5Wp6d,business_operations,3,toward,the only reason Genius Garage can exist anymore is because I do my own YouTube and give it exposure,"States how his own organisation is actually funded — his YouTube channel supplies the exposure that keeps it alive, and students are not charged. Operations rather than policy: no rule, statute or level of government is named or asked to change anywhere in the passage.",high,SPEAKER_29,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:40:21.000Z
